publication_id,ion,band,instrument,holding,tier,selector,route,treatment,A,n_lines,wavelength_air_A,abundance,ep_eV,log_gf,gf_basis,perline_artifact
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4233.162,7.619,2.583,-2.02,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4351.762,7.197,2.704,-1.95,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4385.377,8.59,2.778,-2.64,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4416.819,7.92,2.778,-2.57,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4508.28,7.897,2.856,-2.42,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4522.628,8.366,2.844,-2.29,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4549.466,8.079,2.828,-1.92,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,4583.829,7.446,2.807,-1.94,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-001,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.531,2,4233.162,7.617,2.583,-2.02,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-001,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.531,2,4583.829,7.444999999999999,2.807,-1.94,unique canonical_gf match,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
